,Unnamed: 0.1,Unnamed: 0,Region,Country,State,City,Month,Day,Year,AvgTemperature
76,4459,2045868,North America,US,Massachusetts,Boston,3,18,2007,28.7
77,4460,2045869,North America,US,Massachusetts,Boston,3,19,2007,33.2
78,4461,2045870,North America,US,Massachusetts,Boston,3,20,2007,38.9
79,4462,2045871,North America,US,Massachusetts,Boston,3,21,2007,27.6
80,4463,2045872,North America,US,Massachusetts,Boston,3,22,2007,43.0
81,4464,2045873,North America,US,Massachusetts,Boston,3,23,2007,54.0
82,4465,2045874,North America,US,Massachusetts,Boston,3,24,2007,43.0
83,4466,2045875,North America,US,Massachusetts,Boston,3,25,2007,38.0
84,4467,2045876,North America,US,Massachusetts,Boston,3,26,2007,41.7
85,4468,2045877,North America,US,Massachusetts,Boston,3,27,2007,45.5
86,4469,2045878,North America,US,Massachusetts,Boston,3,28,2007,50.3
87,4470,2045879,North America,US,Massachusetts,Boston,3,29,2007,42.3
88,4471,2045880,North America,US,Massachusetts,Boston,3,30,2007,47.4
89,4472,2045881,North America,US,Massachusetts,Boston,3,31,2007,43.3
90,4473,2045882,North America,US,Massachusetts,Boston,4,1,2007,42.9
91,4474,2045883,North America,US,Massachusetts,Boston,4,2,2007,40.7
92,4475,2045884,North America,US,Massachusetts,Boston,4,3,2007,40.7
93,4476,2045885,North America,US,Massachusetts,Boston,4,4,2007,37.2
94,4477,2045886,North America,US,Massachusetts,Boston,4,5,2007,38.0
95,4478,2045887,North America,US,Massachusetts,Boston,4,6,2007,33.0
96,4479,2045888,North America,US,Massachusetts,Boston,4,7,2007,35.4
97,4480,2045889,North America,US,Massachusetts,Boston,4,8,2007,34.5
98,4481,2045890,North America,US,Massachusetts,Boston,4,9,2007,40.4
99,4482,2045891,North America,US,Massachusetts,Boston,4,10,2007,39.8
100,4483,2045892,North America,US,Massachusetts,Boston,4,11,2007,41.2
101,4484,2045893,North America,US,Massachusetts,Boston,4,12,2007,39.7
102,4485,2045894,North America,US,Massachusetts,Boston,4,13,2007,40.8
103,4486,2045895,North America,US,Massachusetts,Boston,4,14,2007,44.9
104,4487,2045896,North America,US,Massachusetts,Boston,4,15,2007,41.9
105,4488,2045897,North America,US,Massachusetts,Boston,4,16,2007,45.1
106,4489,2045898,North America,US,Massachusetts,Boston,4,17,2007,40.3
107,4490,2045899,North America,US,Massachusetts,Boston,4,18,2007,40.8
108,4491,2045900,North America,US,Massachusetts,Boston,4,19,2007,43.2
109,4492,2045901,North America,US,Massachusetts,Boston,4,20,2007,45.1
110,4493,2045902,North America,US,Massachusetts,Boston,4,21,2007,55.8
111,4494,2045903,North America,US,Massachusetts,Boston,4,22,2007,56.1
112,4495,2045904,North America,US,Massachusetts,Boston,4,23,2007,66.0
113,4496,2045905,North America,US,Massachusetts,Boston,4,24,2007,67.8
114,4497,2045906,North America,US,Massachusetts,Boston,4,25,2007,53.0
